name,rank,city,state,freq
Booz Allen Hamilton Holding Corp.,487,McLean,Virginia,6
Simon Property Group,488,Indianapolis,Indiana,3
Domtar Corporation,489,Fort Mill,South Carolina,8
Rockwell Collins,490,Cedar Rapids,Iowa,5
Lam Research Corporation,491,Fremont,California,1
Fiserv,492,Brookfield,Wisconsin,6
Spectra Energy Corp,493,Houston,Texas,9
Navient Corporation,494,Wilmington,Delaware,2
Big Lots,495,Columbus,Ohio,19
Telephone and Data Systems,496,Chicago,Illinois,10
First American Financial Corporation,497,Santa Ana,California,2
NVR,498,Reston,Virginia,7
Cincinnati Financial Corporation,499,Fairfield,Ohio,2
Burlington Stores,500,Burlington,New Jersey,1
KBR,501,Houston,Texas,
Neiman Marcus Group LTD LLC,502,Dallas,Texas,
Robert Half International,503,Menlo Park,California,
Leidos Holdings,504,Reston,Virginia,
Harris Corporation,505,Melbourne,Florida,
The Hanover Insurance Group,506,Worcester,Massachusetts,
Pepco Holdings LLC,507,Washington,District of Columbia,
NVIDIA Corporation,508,Santa Clara,California,
Alleghany Corporation,509,New York,New York,
M&T Bank Corporation,510,Buffalo,New York,
Rush Enterprises,511,New Braunfels,Texas,
Williams-Sonoma,512,San Francisco,California,
Yahoo!,513,Sunnyvale,California,
Sonoco Products Company,514,Hartsville,South Carolina,
Brookdale Senior Living,515,Brentwood,Tennessee,
Tutor Perini Corporation,516,Sylmar,California,
The Michaels Companies,517,Irving,Texas,
Berry Plastics Group,518,Evansville,Indiana,
Juniper Networks,519,Sunnyvale,California,
Northern Trust Corporation,520,Chicago,Illinois,
YRC Worldwide,521,Overland Park,Kansas,
Pioneer Natural Resources Company,522,Irving,Texas,
Ascena Retail Group,523,Mahwah,New Jersey,
Adobe Systems Incorporated,524,San Jose,California,
Liberty Media Corporation,525,Englewood,Colorado,
American Tower Corporation,526,Boston,Massachusetts,
Zoetis,527,Florham Park,New Jersey,
Polaris Industries,528,Medina,Minnesota,
Intercontinental Exchange,529,Atlanta,Georgia,
Quad/Graphics,530,Sussex,Wisconsin,
AmTrust Financial Services,531,New York,New York,
Activision Blizzard,532,Santa Monica,California,
Fortune Brands Home & Security,533,Deerfield,Illinois,
Caesars Entertainment Corporation,534,Las Vegas,Nevada,
Post Holdings,535,St. Louis,Missouri,
The Blackstone Group L.P.,536,New York,New York,
Magellan Health,537,Scottsdale,Arizona,
RPM International,538,Medina,Ohio,
Flowserve Corporation,539,Irving,Texas,
KeyCorp,540,Cleveland,Ohio,
MRC Global,541,Houston,Texas,
Keurig Green Mountain,542,Waterbury,VT,
Electronic Arts,543,Redwood City,California,
General Cable Corporation,544,Highland Heights,Kentucky,
Cintas Corporation,545,Cincinnati,Ohio,
Chipotle Mexican Grill,546,Denver,Colorado,
Levi Strauss & Co.,547,San Francisco,California,
Talen Energy Corporation,548,Allentown,Pennsylvania,
Westlake Chemical Corporation,549,Houston,Texas,
Hasbro,550,Pawtucket,Rhode Island,
Securian Financial Group,551,St. Paul,Minnesota,
Intuit,552,Mountain View,California,
Cerner Corporation,553,North Kansas City,Missouri,
Coty,554,New York,New York,
The Valspar Corporation,555,Minneapolis,Minnesota,
SCANA Corporation,556,Cayce,South Carolina,
Bloomin' Brands,557,Tampa,Florida,
MDU Resources Group,558,Bismarck,North Dakota,
Patterson Companies,559,St. Paul,Minnesota,
Orbital ATK,560,Dulles,Virginia,
Factory Mutual Insurance Company,561,Johnston,Rhode Island,
Hyatt Hotels Corporation,562,Chicago,Illinois,
CA,563,New York,New York,
VWR Corporation,564,Radnor,Pennsylvania,
Science Applications International Corporation,565,McLean,Virginia,
CF Industries Holdings,566,Deerfield,Illinois,
LPL Financial Holdings,568,Boston,Massachusetts,
Alon USA Energy,569,Dallas,Texas,
Swift Transportation Company,570,Phoenix,Arizona,
MasTec,572,Coral Gables,Florida,
T. Rowe Price Group,573,Baltimore,Maryland,
The Andersons,574,Maumee,Ohio,
Coach,575,New York,New York,
Toll Brothers,576,Horsham,Pennsylvania,
Graphic Packaging Holding Company,577,Atlanta,Georgia,
Brunswick Corporation,578,Lake Forest,Illinois,
Atmos Energy Corporation,579,Dallas,Texas,
Hexion,580,Columbus,Ohio,
Watsco,581,Miami,Florida,
Tiffany & Co.,582,New York,New York,
Regeneron Pharmaceuticals,583,Tarrytown,New York,
Avaya,584,Santa Clara,California,
Bemis Company,586,Neenah,Wisconsin,
Mead Johnson Nutrition Company,587,Glenview,Illinois,
Tesla Motors,588,Palo Alto,California,
Agilent Technologies,589,Santa Clara,California,
Torchmark Corporation,590,McKinney,Texas,
Thor Industries,591,Elkhart,Indiana,
Cabela's Incorporated,592,Sidney,Nebraska,
Advanced Micro Devices,593,Sunnyvale,California,
AMETEK,594,Berwyn,Pennsylvania,
Smart & Final Stores,595,Commerce,California,
