name,index,ncolors,nregions,frac,pcm,h_sym,v_sym,rep_frac,rep_pcm,h_pos,v_pos,avg_left,avg_right,avg_top,avg_bot,abs_left,abs_right,abs_top,abs_bot,ch_density,ch_entropy,ar,ncorners,down_diag,vert,up_diag,hor
mastercard,1,3,3,0.4733941034040735,1.3539542819484187,0.9890621236236218,0.9895728964602756,0.12686332032781447,0.032897913762165366,0.4985074626865672,0.4262589928057554,False,False,True,False,False,False,True,False,0.9666976906520854,0.2895420665267868,1.6258064516129032,3,0.19418238993710693,0.20440251572327045,0.19418238993710693,0.4072327044025157
mattel,1,2,4,0.471683873264507,8.302447528791244,0.6423142392899723,0.6611636028769368,0.4009474541909127,4.1660352547975155,0.498360655737705,0.498360655737705,False,False,False,False,False,False,False,False,0.8434722823457513,0.7515083262600148,0.9910714285714286,121,0.1954268292682927,0.3871951219512195,0.14542682926829267,0.27195121951219514
max-factor,1,1,1,0.008532024310425433,7.744242822912782,0.27431129413857797,0.16410173496463745,0.0,0.0,0.8765822784810127,0.4803370786516854,False,True,False,False,False,True,False,False,0.5049407114624506,1.4802366074965985,1.064516129032258,8,0.19743589743589746,0.3384615384615385,0.07948717948717947,0.38461538461538464
maytag,1,4,29,0.28155646947168617,47.924912734956294,0.4118248000899493,-0.06652033384475513,0.8263698806073759,10.290861472109622,0.4979423868312757,0.5,False,False,False,False,False,False,False,False,0.7152698048220436,3.4871557510672995,2.5762711864406778,105,0.050925925925925916,0.27025462962962965,0.05729166666666665,0.6215277777777778
mccormick,1,4,21,0.5059239541741695,6.568730013403862,0.5740287650355242,0.3978264287298561,0.3416414516051189,13.327904950137045,0.4986033519553073,0.498220640569395,False,False,False,False,False,False,False,False,0.8104724080267559,2.0439450916781308,1.375,41,0.08127340823970038,0.39850187265917597,0.08876404494382023,0.4314606741573034
mcdonalds,1,2,2,0.7429013079667063,1.3591383292437942,,,0.4192835878229136,2.639879531373391,0.4984848484848485,0.4984848484848485,False,False,False,False,False,False,False,False,0.999648,0.5303323933690588,1.0,7,0.0019569471624266144,0.4970645792563601,0.0029354207436399216,0.4980430528375734
mckesson,1,1,1,0.006363636363636364,1.600643999095633,,,0.0,0.0,0.23898305084745766,0.68,True,False,False,False,False,False,False,False,1.0,1.1593839063759743,3.4,4,0.011111111111111113,0.2222222222222222,0.011111111111111113,0.7555555555555555
mckinsey,1,1,1,0.007777393708952644,9.063579277707344,0.34434776173059395,0.61532472003174,0.0,0.0,0.2755775577557756,0.4669811320754717,True,False,False,False,False,False,False,False,0.3890489913544669,2.011684194111483,1.2352941176470589,11,0.16228070175438594,0.456140350877193,0.14473684210526316,0.2368421052631579
mckinsey,2,1,1,0.0064523562622421935,6.8237681850650125,0.006493506493506446,0.18217180495318105,0.0,0.0,0.5016501650165016,0.4716981132075472,False,False,False,False,False,False,False,False,0.4933920704845815,2.4810083481941367,1.125,10,0.3181818181818182,0.26136363636363635,0.11363636363636365,0.3068181818181818
mckinsey,3,1,1,0.007662173061412605,8.19049630069532,-0.019411921372138898,0.4649489106532387,0.0,0.0,0.7871287128712872,0.4952830188679245,False,True,False,False,False,False,False,False,0.4962686567164179,2.433525695994667,2.090909090909091,11,0.12037037037037035,0.4537037037037037,0.12962962962962962,0.2962962962962963
