name,area,frac,r,g,b,color_label
cadbury,79878,0.472594959,74.64855154,49.44338867,145.7147149,7
cadbury,89142,0.527405041,253.2711853,252.8658545,254.0386238,0
cadillac,783,0.045,94.14212548,90.84507042,85.57234315,6
cadillac,1043,0.059942529,158.7842761,153.0824545,138.1188878,8
cadillac,268,0.015402299,119.1529851,15.94776119,7.791044776,13
cadillac,13590,0.781034483,254.3453274,254.3682855,254.4473142,0
cadillac,528,0.030344828,26.88490566,24.3245283,25.53584906,1
cadillac,1188,0.068275862,199.4848485,199.7382155,203.4612795,8
calpine-corporation,37254,0.911479742,254.476271,254.476271,254.476271,0
calpine-corporation,2883,0.070537287,5.720083247,5.720083247,5.720083247,1
calpine-corporation,735,0.017982971,148.4489796,148.4489796,148.4489796,8
calvin-klein,59316,0.83026791,254.5585845,254.5585845,254.5585845,0
calvin-klein,10741,0.150345735,1.584861745,1.584861745,1.584861745,1
calvin-klein,1385,0.019386355,141.0909747,141.0909747,141.0909747,8
camel,24372,0.860775588,254.3639422,254.3639422,254.3639422,0
camel,3254,0.114925479,3.590964966,3.590964966,3.590964966,1
camel,688,0.024298933,132.005814,132.005814,132.005814,6
cameron-international-corporation,6818,0.101449275,38.27735406,34.34834262,35.35846289,1
cameron-international-corporation,711,0.010579413,25.85372714,20.67510549,22.51898734,1
cameron-international-corporation,3513,0.052272119,194.7110732,12.8596641,43.15200683,2
cameron-international-corporation,53074,0.789721156,254.5982214,254.5070468,254.5171082,0
cameron-international-corporation,1626,0.024194268,2.918819188,1.250922509,1.667896679,1
cameron-international-corporation,1464,0.021783769,163.2513661,149.2827869,150.8804645,8
campbells,1318,0.034611345,23.45827011,7.911229135,8.515933232,1
campbells,11490,0.301733193,190.5978242,22.48563969,26.07998259,2
campbells,2268,0.059558824,202.4241623,158.3474427,36.78306878,11
campbells,1043,0.027389706,222.2540748,199.759348,182.3537872,8
campbells,574,0.015073529,159.4738676,113.738676,115.4494774,6
campbells,21387,0.561633403,254.2563707,253.7735073,252.8480853,0
canon,23963,0.317205867,238.083003,49.60580896,36.40587573,2
canon,51581,0.682794133,254.8943022,253.8691185,253.8095423,0
capital-one,7995,0.110351967,6.396998124,73.09881176,122.0630394,3
capital-one,4471,0.061711525,210.2603444,47.39230597,47.39230597,2
capital-one,59984,0.827936508,253.8618298,253.836323,254.032492,0
cardinal-health,1762,0.023979314,229.192395,40.67990919,61.83314415,2
cardinal-health,3813,0.051891671,39.41725675,35.50485182,36.42617362,1
cardinal-health,66357,0.903062058,254.9541721,254.8447187,254.8563678,0
cardinal-health,1548,0.021066957,199.5904393,167.1724806,170.9050388,8
carefree,4118,0.132471209,237.268577,17.20349684,147.5099563,13
carefree,26968,0.867528791,254.8393281,252.8302062,254.0223598,0
carrier,50692,0.472388407,18.61595518,17.63128304,160.4504458,7
carrier,56618,0.527611593,251.7478717,251.7350666,253.6994065,0
cartier,61808,0.884171375,254.6634902,254.6634902,254.6634902,0
cartier,6985,0.099921322,2.258554044,2.258554044,2.258554044,1
cartier,1112,0.015907303,139.8246403,139.8246403,139.8246403,8
caseys-general,7172,0.102222032,31.8888734,28.95831009,31.33017289,1
caseys-general,4846,0.069069711,173.9737928,108.6031779,32.67952951,5
caseys-general,9130,0.130129274,236.6400876,29.6736035,47.61325301,2
caseys-general,6124,0.087284959,250.0370673,220.4892227,26.10467015,11
caseys-general,1144,0.016305355,114.0402098,77.18181818,40.52884615,6
caseys-general,1546,0.022035034,72.35963777,50.09443726,36.90232859,1
caseys-general,40199,0.572953635,254.3222966,253.3089132,253.3912286,0
caterpillar,856,0.041523163,251.7535047,195.9252336,13.99883178,11
caterpillar,13498,0.654765947,254.2776708,254.2776708,254.2776708,0
caterpillar,5748,0.278826098,2.877348643,2.603340292,1.753131524,1
caterpillar,513,0.024884793,147.0838207,146.7992203,145.8791423,8
cbi,9180,0.344387755,6.387363834,150.9312636,215.537146,9
cbi,17476,0.655612245,251.0346189,253.2608721,254.2685397,0
cbre,62675,0.432369599,1.783661747,109.9499481,81.13372158,4
cbre,1758,0.012127734,136.4544432,189.3250844,175.5984252,8
cbre,80524,0.555502666,253.8884279,254.6359311,254.6305277,0
cbs,47049,0.650530944,253.4717847,253.4717847,253.4717847,0
cbs,25275,0.349469056,2.14429278,2.14429278,2.14429278,1
cdw-corporation,6600,0.094373347,221.6201515,29.31151515,57.90348485,2
cdw-corporation,53006,0.757932366,254.533317,254.1092518,254.1562842,0
cdw-corporation,10329,0.147694288,2.055378062,1.985477781,1.992835705,1
celanese-corporation,1065,0.040525114,236.113615,116.2065728,64.85164319,5
celanese-corporation,22931,0.872564688,254.3640487,254.0948062,253.9928045,0
